Alosa spp.,Atlantic herring,Bluefish,Butterfish,Cancer crabs,Cunner,Fourspot flounder,Horseshoe crab,Lady crab,Little skate,Lobster,Long finned squid,Longhorned sculpin,Northern searobin,Red hake,Scup,Sea star,Silver hake,Spider crab,Striped searobin,Summer flounder,Tautog,Weakfish,Windowpane,Winter flounder
0.326388889,4.288888889,0.048611111,6.631944444,0,7.422222222,0.020833333,0,0,0.409722222,0.702777778,1.45,3.654166667,14.48055556,0.75,106.6041667,0,0.675,0,0,0.684722222,1.036111111,0.020833333,25.38888889,314.9944444
0.180555556,2.131944444,0.041666667,1.5375,0,8.156944444,0,0,0,0.506944444,1.388888889,2.445833333,6.819444444,31.60416667,0.041666667,30.29166667,0,2.958333333,0,0,0.320833333,2.1,0.079166667,26.17361111,362.5347222
0.154166667,3.804166667,0.091666667,0.606944444,3.198611111,6.677777778,0,0.666666667,0,0.845833333,1.531944444,1.873611111,2.511111111,11.87916667,0.020833333,19.06805556,6.284722222,0.445833333,4.3,4.8625,0.347222222,2.916666667,0.645833333,29.97222222,275.9027778
0.1,2.730555556,0.405555556,0.348611111,8.7625,3.826388889,0.027777778,1.254166667,0,0.813888889,1.054166667,2.9625,3.530555556,12.93055556,0.086111111,17.37083333,12.15277778,1.8125,11.71111111,2.291666667,0.243055556,4.855555556,0.0625,26.20555556,178.0986111
0.588888889,1.066666667,0.15,6.770833333,4.486111111,2.608333333,0,1.391666667,0,1.280555556,0.697222222,4.05,1.140277778,13.91666667,0.020833333,76.1875,14.84722222,0.1,11.59166667,3.879166667,0.525,3.083333333,0.291666667,23.45,124.7430556
0.173611111,2.8625,0,5.330555556,8.881944444,1.895833333,0,1.6625,0,2.106944444,0.606944444,1.275,0.993055556,10.8125,0.454166667,37.68333333,17.3125,1.2875,13.21388889,0.722222222,0.269444444,2.425,0.3125,20.26527778,105.7986111
0.636111111,0.855555556,0,1.281944444,13.05138889,3.445833333,0.145833333,4.294444444,0,3.056944444,1.411111111,2.719444444,2.068055556,18.14166667,0.141666667,109.5138889,17.85416667,5.856944444,15.93194444,3.375,1.070833333,3.693055556,7.958333333,20.75,103.9583333
0.179166667,1.040277778,0.402777778,1.063888889,11.29583333,1.304166667,0.172222222,7.404166667,0,3.366666667,1.423611111,2.388888889,0.633333333,15.46111111,0.083333333,55.24861111,19.34583333,2.801388889,9.7875,0,3.502777778,2.555555556,0.755555556,17.0375,94.29861111
0.391666667,1.020833333,0.961111111,12.09722222,10.21111111,2.290277778,0.093055556,13.95555556,0,2.355555556,2.318055556,5.530555556,0.0375,4.298611111,0.35,166.4055556,29.29861111,1.581944444,9.413888889,0,2.427777778,3.768055556,1.1,10.43333333,63.00694444
0.458333333,2.009722222,0.020833333,5.902777778,8.131944444,1.763888889,0.125,7.197222222,0,2.259722222,1.476388889,4.520833333,0.201388889,4.868055556,0.423611111,408.0069444,31.56944444,3.779166667,13.625,0,8.916666667,4.138888889,1.409722222,8.104166667,50.91666667
0.347222222,1.254166667,0.9375,1.431944444,5.408333333,0.277777778,0.301388889,12.35277778,0,1.005555556,2.930555556,2.872222222,0.166666667,14.5625,2.501388889,287.3,12.55833333,2.808333333,12.29305556,0.8125,2.451388889,1.747222222,0,14.22638889,64.50277778
0.734722222,0,0.083333333,1.770833333,69.95138889,0.1125,2.995833333,7.216666667,0,0.931944444,5.386111111,2.716666667,0.375,6,1.744444444,163.4875,0.165277778,1.856944444,6.477777778,0.975,1.466666667,1.0875,0.941666667,27.92222222,176.2111111
0.136363636,0.022727273,0.218181818,13.36818182,93.78636364,0.018181818,3.354545455,7.136363636,0,1.581818182,3.713636364,6.009090909,0.136363636,4.595454545,0.954545455,167.9727273,0.359090909,1.822727273,8.295454545,0.863636364,1.35,0.945454545,0.25,27.2,367.5090909
0.075,0.016666667,0.104166667,0.483333333,28.875,0.108333333,0.625,3.233333333,0,2.919444444,1.675,2.083333333,0.5125,1.904166667,0.998611111,80.52916667,0.404166667,0.415277778,7.352777778,0.204166667,0.966666667,0.3375,0.841666667,19.76805556,263.4875
0.138888889,1.35,0.216666667,1.975,45.19444444,0.279166667,1.468055556,5.475,0,2.052777778,4.106944444,6.720833333,0.444444444,4.120833333,0.125,116.3083333,0.570833333,0.222222222,5.309722222,0.433333333,5.158333333,0.804166667,0.141666667,13.64583333,189.1972222
0.270833333,2.034722222,0.479166667,10.99305556,57.23611111,0.208333333,0.326388889,4.541666667,0,3.458333333,6.756944444,18.47222222,0.493055556,6.270833333,0.840277778,58.27083333,0.736111111,6.0625,20.18055556,0.618055556,2.222222222,1.083333333,0.770833333,7.368055556,139.2291667
0.733333333,3.266666667,0.055555556,42.23194444,39.76666667,0.266666667,0.3,0.566666667,0,4.968055556,1.531944444,22.36527778,0.229166667,2.1875,0.161111111,189.2708333,0.016666667,4.995833333,6.220833333,0.868055556,1.975,1.086111111,0.819444444,10.77638889,317.3430556
0.263888889,4.856944444,0.183333333,21.46111111,11.1,0.088888889,0.283333333,0.947222222,0,2.9,1.666666667,47.08611111,0.208333333,0.669444444,0.752777778,170.8430556,0.020833333,3,3.116666667,0.229166667,0.763888889,2.545833333,0.016666667,4.0125,109.9236111
0.295833333,0.304166667,2.127777778,22.91805556,11.76666667,0.0375,0.286111111,0.816666667,0.0625,1.554166667,3.633333333,19.21944444,0.7,1.716666667,1.905555556,187.5819444,0.075,1.070833333,18.42777778,0.158333333,0.554166667,0.495833333,0.319444444,2.5,42.57222222
0.416666667,1.802777778,1.634722222,22.70555556,27.61111111,0.020833333,0.348611111,0.609722222,0.027777778,1.505555556,10.15972222,11.38888889,0.016666667,0.202777778,0.416666667,158.5625,0.065277778,2.959722222,14.3375,0.431944444,1.197222222,0.352777778,0.083333333,3.179166667,41.1
2.041666667,2.7,2.3625,72.67916667,55.51666667,0.0625,0.358333333,1.695833333,6.8,4.404166667,39.075,33.21666667,0.083333333,0.091666667,2.091666667,358.5208333,0.020833333,2.3625,12.14583333,0.225,0.666666667,0.433333333,0.479166667,2.345833333,47.40833333
9.3375,1.873611111,4.961111111,101.6472222,33.05833333,0.020833333,0.675,0.845833333,0.581944444,3.966666667,45.77777778,39.66111111,0,0.116666667,0.075,131.3291667,0.083333333,0.777777778,1.755555556,0.473611111,0.223611111,0.1375,6.030555556,1.154166667,28.76666667
2.594444444,74.13611111,6.975,42.84583333,39.57222222,0,0.345833333,0.6125,1.479166667,4.331944444,40.55416667,38.85833333,0,0.116666667,0.25,256.3583333,0.041666667,1.159722222,5.290277778,1.388888889,1.536111111,0.175,8.416666667,0.786111111,21.62916667
62.71666667,19.66527778,28.6375,222.2083333,63.44027778,0,0.6,0.129166667,5.229166667,1.6875,30.95,59.96666667,0.058333333,0.083333333,0.079166667,56.225,1.391666667,2.141666667,4.945833333,0.9125,0.3125,0.05,6.658333333,0.777777778,13.28333333
