Actinocyclus sp.,Alexandrium spp.,Amphidinium spp,Asterionella glacialis,Bacillaria spp,Bacteriastrum hyalina,Biddulphia spp.,Cerataulina pelagica,Ceratium fusus,Ceratium lineatum,Ceratium tripos,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros compressus,Chaetoceros constrictus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros laciniosus,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros subtilis,Chaetoceros teres,Cochlodinium spp.,Coscinodiscus granii,Cryptomonads,Cyclotella spp,Cylindrotheca closterium,Dactyliosolen spp.,Detonula confervacea,Detonula pumila,Dictyocha fibula,Dictyocha speculum,Dinobryon spp,Dinophysis acuminata,Diplopsalis lenticula,Ditylum brightwellii,Ebria spp,Eucampia spp,Eucampia zodiacus,Gonyaulax spp.,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodinium sanguineum,Gymnodinium spp.,Gyrodinium spirale,Hemiaulus spp.,Heterocapsa rotundata,Heterocapsa triquetra,Heterosigma spp.,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus minimus,Lithodesmium undulatum,Melosira spp.,Nitzschia longissima,Oltmannsiella spp.,Paralia sulcata,Phaeocystis spp.,Polykrikos spp.,Proboscia alata,Prorocentrum micans,Prorocentrum minimum,Prorocentrum scutellum,Protoperidinium oceanicum,Pseudo-nitzschia delicatissima,Pseudo-nitzschia pungens,Pyramimonas torta,Rhizosolenia hebatata,Rhizosolenia setigera,Skeletonema spp.,Stephanopyxis turris,Striatella unipunctata,Thalassionema nitzschioides,Thalassiosira eccentrica,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassioisira rotula
0,0,0,20834,0,0,0,4,0,0,0,73,0,0,0,0,1566,6,7965,74,0,0,429,0,0,0,2355,0,330,0,0,0,0,0,0,0,3185,172,26,12171,0,0,0,0,2,0,1916,67,0,0,0,4909,4,0,0,56,0,0,0,9,784,0,787,963,1,0,0,0,0,24,0,0,0,182,16,0,0,0,60,0,1355,77493,0,0,142,0,18692,0,0,598
0,0,0,876.3913043,0,0,0,0,0,0,0,60.73913043,0,0,0.956521739,0,111.2826087,0.434782609,35.34782609,1.739130435,0,76.17391304,26.80434783,0,0,0,11.08695652,0,15.7826087,0,0,0,0,0,0,0.173913043,70.32692308,0.652173913,16.15384615,153.5,0,0,0,0,0.434782609,0,0.217391304,0.652173913,0,0.152173913,0,103.0434783,0.260869565,0,0,1.108695652,0,0.442307692,0,0,12.80434783,0,129.826087,130.3043478,0,0,0,0,0,0.565217391,0,0,0,2.869565217,0.565217391,0,0,0,0.391304348,0.173913043,4.695652174,1742.130435,0,0,0.913043478,0,200.3478261,0,0,9.02173913
0.153846154,0,0,472.0227273,0,0,0,2.818181818,0,0,0,2.818181818,0,19.38636364,2.068181818,0,30.11363636,0,76.84090909,20.11363636,0,0,19.31818182,0,0.659090909,0,0.204545455,0,1.431818182,0.045454545,0,35.81818182,0,0,0,1.318181818,48.51923077,0.795454545,245.3461538,109.5227273,0,0,0,11.27272727,0.045454545,0,5.227272727,0.409090909,0.454545455,1.772727273,0,136.8863636,0,0,0,10.79545455,0,0,6.909090909,0,93.77272727,0,30.81818182,88.75,0.727272727,0,0.386363636,0,0.136363636,0.636363636,0,0,0.090909091,0.159090909,0,0,0,0,28.11363636,0,1.409090909,3481.068182,0,0,10.97727273,0,194.5227273,0,0,2.818181818
0.038461538,0,0,172.1538462,0,0,0.115384615,4.358974359,0,0,0,7.743589744,0,5.794871795,0,0,4.153846154,0,2.025641026,1,0,71.23076923,2.435897436,0,0.435897436,1.692307692,0.076923077,0,0,0.230769231,0,1.307692308,0.128205128,0,0,15.28205128,42.59615385,6.923076923,11.15384615,225.3076923,0.358974359,0,0.076923077,1.256410256,0,0,0.205128205,0.230769231,0.179487179,2.512820513,0,0.974358974,0,0,0,1.641025641,0,0,0.230769231,0.025641026,28.23076923,0,32.25641026,45.53846154,1.358974359,0,1.743589744,0,0.435897436,0.384615385,0,0,0.102564103,3.102564103,4.666666667,0,0,0,1.384615385,0,2.153846154,2583.923077,0,0,10.79487179,0,30.97435897,0,0,21.38461538
0,0,0,15.28571429,0,0,0.326923077,105.7380952,0.023809524,0,0,1.023809524,0,1.476190476,0,0,2.833333333,0,0,0.595238095,0,9.976190476,3.452380952,0,0,0,1,0,0,0,0,0.761904762,0.119047619,0,0,2.952380952,72.92307692,6.214285714,28.63461538,233.1428571,0,0,1.142857143,0.30952381,0,0,0.738095238,1.857142857,0,0,0,0.142857143,0,0,0,4.666666667,0,1.153846154,0.238095238,0.047619048,0.452380952,0,43.21428571,22.23809524,0.523809524,0,0.285714286,0,0.952380952,0.238095238,0,0.023809524,0.404761905,2.047619048,0,0,0,0,20.71428571,0,1.833333333,2482.333333,0,0,7.404761905,0,87.80952381,0,0,1.833333333
0.019230769,0,0.557692308,37.34782609,0.130434783,0.086956522,0.019230769,106.5434783,0,0,0,1.695652174,0.130434783,10.58695652,0,0,0,0,0,1.217391304,0.108695652,5.673913043,3.543478261,0,0.260869565,0.391304348,0,0,0,0,0,0.239130435,0,0,0,1.760869565,3.480769231,10.5,7.75,138.5652174,0,0,0.260869565,0.804347826,0,0,0.065217391,0.065217391,0,0,0,2.891304348,0,0,0,0.804347826,0,0.038461538,1.891304348,0.5,208.4130435,0,13.08695652,90.73913043,0,0,0,0,0.413043478,0.891304348,0,0,0.043478261,14.08695652,0,0,0,0,1.47826087,0,2.630434783,1469.021739,0,0,5.043478261,0,400.5,0,0,1.043478261
0,0,0.365384615,141.75,0,0,0,4.375,0,0,0,12.125,0,91.33333333,0,3.270833333,5.1875,0.5625,0,18.72916667,0,3.020833333,17.58333333,0,0.416666667,0.041666667,1.125,0,0,0.083333333,0,0.125,0,0,0,1.645833333,0.576923077,3.041666667,7.596153846,258.2083333,0,0,0.125,0.5,0,0,3.416666667,0.666666667,0.083333333,4.916666667,0,3.645833333,0,0,0,8.604166667,0,0,0,0.333333333,78.625,0,99.72916667,14.16666667,0,0.083333333,0,1.520833333,0.770833333,0.270833333,0,0.0625,0.0625,4,0,0,0,1.0625,0.791666667,0,1.5,2936.625,0,0,6.583333333,0,91.29166667,0,0,22.45833333
0,0,0.442307692,14.86956522,0,0,0.461538462,5.282608696,0,0,0,18.7826087,0,69.76086957,0,2.826086957,9.065217391,0.391304348,0.97826087,10.69565217,0,0,0.413043478,0,0,0,0,0,0,0,9.456521739,1.956521739,0,0,0,2.608695652,49.96153846,5.869565217,28.09615385,105.5217391,0,0,0.130434783,1.282608696,0,0,0.391304348,1.152173913,0,0.152173913,0,1.260869565,0.130434783,0,0,8.543478261,0,0,0.695652174,7.717391304,26.2173913,0.826086957,353.5,167.9347826,0,0.326086957,0,0.065217391,1.586956522,0,0,0,0,21.54347826,0.413043478,0,0,0,0.282608696,0,0.695652174,3225.326087,0,0,5.608695652,0,80.80434783,0,0,37.7173913
0,0,0,287,0,0,0.538461538,2.85106383,0.042553191,0,0.042553191,2.276595745,0,69.82978723,0,0.361702128,17.08510638,0,3.787234043,2.617021277,0,3.063829787,2.127659574,0,0,0,0.106382979,0,0,3.191489362,19.76595745,5.659574468,0.829787234,0,0,33.9787234,75.19230769,5.574468085,17.48076923,276.3404255,0,0,0.255319149,0.638297872,0,0,0.085106383,0.106382979,0,0.70212766,0,0.510638298,0.872340426,0.085106383,0,4.106382979,0,0,12,0.574468085,60.27659574,0.234042553,13.27659574,11.65957447,0.191489362,0,0,0.127659574,0.829787234,0,0,0,0.170212766,7.106382979,0.617021277,0,0,0,3.85106383,0,0.340425532,2505.042553,0.234042553,0,10.74468085,0,110.4680851,0,0,6.595744681
0,0,0,46.13043478,0,0,0,7.043478261,0,0,0.152173913,0.326086957,0,13.15217391,0.565217391,0,2,0,2.326086957,0.152173913,0,0,2.5,0,0,0.065217391,0,0,0,2.369565217,4.434782609,2.304347826,0.804347826,0,0,31.63043478,8.730769231,3.456521739,12.48076923,137.9782609,0,0,0.260869565,0.52173913,0,0,0.434782609,0,0.043478261,0,0,1.739130435,0,0,0,18.19565217,0,0,9.043478261,3.304347826,63.34782609,0,3.608695652,65.47826087,0,0,0,0.02173913,0.543478261,0,0,0.043478261,0,13.19565217,1.347826087,0,0,0,1.586956522,0,0.543478261,1663.282609,0,0,164.0217391,0,30.02173913,0,0,35.7173913
0,0,0,62.26666667,0,0,0,12.76666667,0,0,0,0,0,42.36666667,0,0,3.6,0,2.8,2.8,0,0.3,29.5,0,0,0,0,0,0,8.766666667,0,1.233333333,0,0,0,31.43333333,0.365384615,15.5,0.096153846,96,0,0.333333333,0,4.533333333,0,0.1,2.8,0.2,0,0,0.133333333,13.33333333,0,0,0,8.566666667,0,0,3.066666667,22.83333333,0,0.966666667,7.4,11.86666667,0,0,0.133333333,0,0.466666667,33.5,0,0,0,4.566666667,7.266666667,0,0,14.26666667,6.433333333,0,0.466666667,2097.5,0,0,73.5,0,277.7333333,0,0,16.6
0,0,0,29.82352941,0,0,1.192307692,85.29411765,0,0,0,1.764705882,0,5.852941176,0,0,0.029411765,0,0.029411765,0,0,1.323529412,8.529411765,0,1.323529412,0,0.147058824,0,0,1.764705882,0,0.441176471,0,0,0,80.58823529,176.2884615,16.35294118,20.15384615,0.558823529,0.029411765,2.058823529,0.352941176,0,0,1.970588235,0.029411765,0.647058824,0.029411765,0.735294118,0,9.235294118,0,0.5,0,23.44117647,0,0,100,2.823529412,468.8235294,0.117647059,89.38235294,29.76470588,0,0,0,0.441176471,0,0,0,0,0,43.05882353,0.529411765,0,0,7.352941176,6.058823529,0,0.411764706,1651.205882,0,0,7.852941176,0,3.441176471,0,0,74.52941176
0,0,1.538461538,45.44680851,0,0,1.519230769,5.936170213,0,0,0,0.553191489,0,15.27659574,0,0,0,0,0.319148936,4.127659574,0,0.234042553,0,0,0,0,0.170212766,0,0,6.936170213,3,7.446808511,0.957446809,0.29787234,0,56.17021277,272.1538462,27.29787234,130.6923077,67.70212766,0,0.042553191,0.042553191,0,0,0.510638298,0.14893617,1.510638298,0.127659574,0.808510638,0.723404255,19.68085106,0,0.106382979,0,34.70212766,0,0,208.6382979,6.595744681,188.3404255,0.042553191,12.76595745,49.27659574,0,0,0,0,1.191489362,1,0,0,0.787234043,10.40425532,3.361702128,0,0,0.14893617,171.3404255,0,0.680851064,3595.404255,0,0,0.978723404,0,42.55319149,0,0,14.42553191
